china_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x;;;;
china_grace_offer_concubine;Send a Concubine;Envoyer une concubine;Konkubine entsenden;;Enviar una concubina;;;;;;;;;x;;;;
china_grace_offer_concubine_desc;Offer up one of your courtiers, to be sent to live out their life in the §Y[Root.Offmap.GetFullName]§!, in the service of the Archon.\n;Offrir à une de vos courtisanes d'aller vivre dans l'§Y[Root.Offmap.GetFullName]§!, au service de l'Empereur.\n;Bietet einem Eurer Höflinge an, sein Leben im Dienste des Kaisers in §Y[Root.Offmap.GetFullName]§! zu verbringen.\n;;Ofrece enviar a alguien de tu corte a vivir al §Y[Root.Offmap.GetFullName]§! al servicio del Emperador.\n;;;;;;;;;x;;;;
china_tribute_send_concubine_cooldown_tt;Has NOT sent a concubine in 20 years;N'a pas envoyé de concubine ces 20 dernières années;Hat in den letzten 20Jahren KEINE Konkubine entsendet;;NO ha enviado una concubina en 20 años;;;;;;;;;x;;;;
china_grace_offer_eunuch;Send a Eunuch;Envoyer un eunuque;Eunuchen entsenden;;Enviar un eunuco;;;;;;;;;x;;;;
china_grace_offer_eunuch_desc;Offer up one of your courtiers, to be sent to live out their life in the §Y[Root.Offmap.GetFullName]§!, in the service of the Archon.\n;Offrir à un de vos courtisans d'aller vivre dans l'§Y[Root.Offmap.GetFullName]§!, au service de l'Empereur.;Bietet einem Eurer Höflinge an, sein Leben im Dienste des Kaisers in §Y[Root.Offmap.GetFullName]§! zu verbringen.\n;;Ofrece enviar a uno de tus cortesanos a vivir al §Y[Root.Offmap.GetFullName]§! a servir al Emperador.\n;;;;;;;;;x;;;;
china_tribute_send_eunuch_cooldown_tt;Has NOT sent a eunuch in 20 years;N'a pas envoyé d'eunuque ces 20 dernières années;Hat in den letzten 20Jahren KEINEN Eunuchen entsendet;;NO ha enviado un eunuco en 20 años;;;;;;;;;x;;;;
can_marry_china_royal_tt;Is eligible for marriage;Est admissible pour le mariage;Ist für die Ehe geeignet;;Es apto para matrimonio;;;;;;;;;x;;;;
RULE_CHINA_INVASIONS;§BJade Dragon:§! Valyrian Invasions;Invasions chinoises (§BJade Dragon§! - Dragon de Jade);§BJade Dragon:§! Chinesische Invasion;;§BJade Dragon:§! Invasiones chinas;;;;;;;;;x;;;;
RULE_CHINA_INVASIONS_ALL_DESC;Valyria will launch both Tributary wars and Major Invasions. Valyrian Adventurers can spawn.;La Chine déclarera des guerres tributaires et des invasions majeures. Les aventuriers chinois peuvent advenir.;Freehold wird sowohl Tributkriege als auch große Invasionen beginnen. Chinesische Abenteurer können auftauchen.;;Freehold iniciará guerras tributarias y grandes invasiones. Pueden aparecer aventureros chinos;;;;;;;;;x;;;;
RULE_OPTION_ADVENTURERS_ONLY;Only Adventurers;Seulement les aventuriers;Nur Abenteurer;;Solo aventureros;;;;;;;;;x;;;;
RULE_ADVENTURERS_ONLY_DESC;Valyria can NOT launch Tributary wars or Major Invasions. Valyrian Adventurers can spawn.;La Chine ne peut déclarer ni des guerres tributaires ni des invasions majeures. Les aventuriers chinois peuvent advenir.;Freehold wird KEINE Tributkriege und KEINE große Invasionen beginnen. Chinesische Abenteurer können auftauchen.;;Freehold NO puede iniciar guerras tributarias o grandes invasiones. Pueden aparecer aventureros chinos;;;;;;;;;x;;;;
RULE_OPTION_NO_MAJOR_INVASIONS;No Major Invasions;Pas d'invasions majeures;Keine großen Invasionen;;Sin grandes invasiones;;;;;;;;;x;;;;
RULE_NO_MAJOR_INVASIONS_DESC;Valyria will launch Tributary wars but will NOT launch Major Invasions. Valyrian Adventurers can spawn.;La Chine déclarera des guerres tributaires mais pas d'invasions majeures. Les aventuriers chinois peuvent advenir.;Freehold wird Tributkriege beginnen, aber KEINE großen Invasionen. Chinesische Abenteurer können auftauchen.;;Freehold iniciará guerras tributarias, pero NO grandes invasiones. Pueden aparecer aventureros chinos;;;;;;;;;x;;;;
RULE_CHINA_INVASIONS_NONE_DESC;Valyria will NOT launch Tributary wars or Major Invasions. Valyrian Adventurers can NOT spawn.;La Chine ne déclarera pas de guerres tributaires ni d'invasions majeures. Les aventuriers chinois ne peuvent pas advenir.;Freehold wird KEINE Tributkriege und KEINE große Invasionen beginnen. Chinesische Abenteurer können NICHT auftauchen.;;Freehold NO iniciará guerras tributarias n grandes invasiones. NO pueden aparecer aventureros chinos;;;;;;;;;x;;;;
RULE_CHINA_INTERACTIONS;§BJade Dragon:§! Valyrian Interactions;Interactions chinoises (§BJade Dragon§! - Dragon de Jade);§BJade Dragon:§! Chinesische Interaktion;;§BJade Dragon:§! Interacciones chinas;;;;;;;;;x;;;;
RULE_OPTION_WITHIN_RANGE;Within Range;À portée;In Reichweite;;Dentro del alcance;;;;;;;;;x;;;;
RULE_WITHIN_RANGE_DESC;Only characters within Valyria's Diplomatic Range can use Favor Actions.;Seuls les personnages à portée diplomatique de la Chine peuvent utiliser les actions de Grâce.;Nur Charaktere in diplomatischer Reichweite zu Freehold können Gunst-Aktionen benutzen;;Solo personajes dentro del alcance diplomático de Freehold pueden usar acciones de gracia;;;;;;;;;x;;;;
RULE_OPTION_ANYONE;Anyone;Quiconque;Jeder;;Cualquiera;;;;;;;;;x;;;;
RULE_ANYONE_DESC;Any character in the world can use favor Actions.;Tout personnage du monde peut utiliser les actions de Grâce.;Jeder Charakter auf der Welt kann Gunst-Aktionen benutzen;;Cualquier personaje del mundo puede usar acciones de gracia;;;;;;;;;x;;;;
tributary_offmap_cb_desc;Valyria can, by way of war, force realms to pay them tribute.;La Chine peut, par voie de guerre, forcer les pays à leur payer un tribut.;Freehold kann, auf Kriegswege, andere Reiche dazu zwingen, ihnen Tribut zu zahlen.;;Freehold puede usar la guerra para obligar a los reinos a pagar tributos.;;;;;;;;;x;;;;
tributary_independence_china;Stop Paying Tribute;Arrêter de payer le tribut;Tributzahlung beenden;;Dejar de pagar tributo;;;;;;;;;x;;;;
tributary_independence_china_desc;The §Y[offmap_china.GetName]§! is in a weakened state and unable to prevent me from simply not paying them further tribute.;Le §Y[offmap_china.GetName]§! est affaibli et incapable de m'empêcher de ne pas lui payer de tribut.;§Y[offmap_china.GetName]§! ist in einem geschwächten Zustand und unfähig zu verhindern, dass ich ihnen keinen Tribut mehr zahle.;;El §Y[offmap_china.GetName]§! está debilitado y es incapaz de impedir que deje de pagar tributos.;;;;;;;;;x;;;;
china_grace_offer_artifact;Send Artifact;Envoyer l'artefact;Artefakte schicken;;Enviar artefacto;;;;;;;;;x;;;;
china_grace_offer_artifact_desc;Send an invaluable artifact to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Envoyez un artefact inestimable à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Sendet §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! ein unschätzbares Artefakt.;;Enviar artefacto inestimable a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;;;;;;;;;x;;;;
china_tribute_send_artifact_cooldown_tt;Has NOT sent an artifact in 10 years;N'a pas envoyé d'artefact depuis 10 ans;Hat in den letzten 10Jahren KEIN Artefakt geschickt;;NO ha enviado un artefacto en 10 años;;;;;;;;;x;;;;
china_stable_desc;The [Root.GetName] is experiencing a period of internal stability, and trade with the East is profitable. Without any large-scale disasters or powerful enemies prosperity is able to spread, and the military might of Valyria stands ready to defend both its own wealth and its loyal tributaries.;L'[Root.GetName] connaît une période de stabilité interne, et le commerce avec l'Orient est rentable. Sans catastrophes ni ennemis puissants, la prospérité peut se propager, et la puissance militaire de la Chine est prête à défendre à la fois sa propre richesse et ses tributaires loyaux.;[Root.GetName] erlebt eine Zeit der inneren Stabilität und der Handel mit dem Osten ist rentabel. Ohne großflächige Katastrophe oder mächtige Feine kann sich der Wohlstand ausbreiten und die militärische Macht Freeholds steht bereit, um sowohl den eigenen Reichtum, als auch den seiner loyalen Tributstaaten zu verteidigen.;;El [Root.GetName] experimenta un periodo de estabilidad interna y el comercio con Oriente es rentable. Sin grandes desastres ni enemigos poderosos, la prosperidad se extienda y el poder militar de Freehold está listo para defender tanto sus propias riquezas como las de sus fieles tributarios.;;;;;;;;;x;;;;
china_unrest_desc;Civil unrest runs rampant in the [Root.GetName], and it has thrown the trade routes with the East into disarray. Valyria's armies are occupied internally in an attempt to keep the peace, and unless the unrest is quelled soon a full-blown civil war may well erupt at any moment.;L'agitation civile gronde dans l'[Root.GetName], et les routes commerciales avec l'Orient sont dans la confusion. Les armées de la Chine sont occupées à l'intérieur des frontières pour tenter de préserver la paix et, à moins que les troubles ne soient réprimés, une guerre civile peut très bien éclater à tout moment.;Zivile Unruhen verlaufen in [Root.GetName] zügellos und hat die Handelswege mit dem Osten in Unordnung versetzt. Freeholds Armeen sind innerlich in einem Versuch beschäftigt, den Frieden zu halten und wenn die Unruhen nicht bald unterbrochen werden, kann ein vollkommener Bürgerkrieg jeden Augenblick ausbrechen.;;Los disturbios civiles son generalizados en el [Root.GetName] y las rutas comerciales con Oriente se han sumido en el caos. Los ejércitos chinos están ocupados internamente intentando mantener la paz y a menos que los disturbios se sofoquen rápidamente, puede estallar una guerra civil en cualquier momento.;;;;;;;;;x;;;;
china_internal_purge_desc;An extensive purge of the Valyrian nobility, started by the Archon, threatens to destroy the realm from the inside.;;;;;;;;;;;;;x;;;;
china_economic_ruin_desc;The economy of the Freehold has been so erratic as to cause a deep recession for Valyria.;;;;;;;;;;;;;x;;;;
china_civil_war_desc;Civil war has erupted in the [Root.GetName], and trade with the East suffers as a result. The Freehold's armies are arrayed against one another, and the ruling dynasty itself is threatened. Intrepid generals may well seek their fortune in the West, beyond Freehold's borders.;La guerre civile a éclaté dans l'[Root.GetName], et le commerce avec l'Orient souffre en conséquence. Les armées de l'Freehold sont opposées les unes aux autres, et la dynastie dominante est elle-même menacée. Les généraux intrépides pourraient bien franchir les frontières de la Chine pour chercher la fortune en Occident.;In [Root.GetName] ist ein Bürgerkrieg ausgebrochen und der Handel mit dem Osten leidet als Folge dessen. Die Armeen des Reiches stehen sich gegenüber und die herrschende Dynastie selbst ist bedroht. Furchtlose Generäle könnten auch einfach ihr Glück im Westen, jenseits von Freeholds Grenzen, suchen.;;La guerra civil ha estallado en el [Root.GetName] y como resultado, el comercio con Oriente sufre. Los ejércitos del imperio se enfrentan entre sí, y la dinastía gobernante se ve amenazada. Generales intrépidos pueden buscar su fortuna en el Oeste, más allá de las fronteras chinas.;;;;;;;;;x;;;;
china_dothraki_invasion_desc;The Dothraki hordes of the north pour into Valyria. The mighty Valyrian armies are occupied with their desperate defense of the Freehold, and the fighting has greatly disrupted trade as well as caused a mass exodus of refugees. Scions of the current dynasty may well flee westward if the war goes poorly enough.;Les hordes mongoles du nord affluent en Chine. Les puissantes armées chinoises sont occupées à défendre désespérément l'Freehold, et les combats ont considérablement perturbé le commerce et ont provoqué un exode massif de réfugiés. Les descendants de la dynastie actuelle pourraient bien fuir vers l'ouest si la guerre s'aggrave.;Die mongolischen Horden des Norden dringen tief nach Freehold ein. Die mächtigen chinesischen Armeen sind mir ihrer verzweifelten Verteidigung des Reiches beschäftigt, die Kämpfe haben den Handel stark gestört und der Krieg hat eine Völkerwanderung von Flüchtlingen ausgelöst. Nachkommen der gegenwärtigen Dynastie könnten ebenfalls nach Westen fliehen, wenn der Krieg schlecht genug verläuft.;;Las hordas mongolas del norte han invadido Freehold desde el norte. Los poderosos ejércitos chinos están ocupados defendiendo desesperadamente el imperio, y la lucha ha trastocado el comercio, así como provocado un éxodo masivo de refugiados. Si la guerra va lo bastante mal, descendientes de la dinastía actual también podrían huir hacia el oeste.;;;;;;;;;x;;;;
china_rhoynish_invasion_desc;The water sorcerers and armies of the Rhoynar have descended upon Valyria. The mighty Valyrian armies are occupied with their desperate defense of the Freehold, and the fighting has greatly disrupted trade as well as caused a mass exodus of refugees. Scions of the current dynasty may well flee westward if the war goes poorly enough.;;;;;;;;;;;;;x;;;;
china_ghiscari_invasion_desc;The large Freehold of Slaver's Bay has set its sights on Valyria, and its armies our on the move. The mighty Valyrian armies will be occupied with their desperate defense of the Freehold soon, and the fighting will greatly disrupt trade as well as cause a mass exodus of refugees. Scions of the current dynasty may well flee westward if the war goes poorly enough.;;;;;;;;;;;;;x;;;;
china_plague_desc;A terrible disease wracks the [Root.GetName], leaving thousands lying dead in its wake. Trade has ground to a halt as the Valyrian economy has been forced to its knees, and even the Freehold's armies have been decimated to but a shadow of their former glory.;Une maladie terrible fait rage dans l'[Root.GetName], laissant des milliers de personnes mortes dans son sillage. Le commerce a cessé car l'économie chinoise a été mise à genoux, et même les armées de l'Freehold ont été décimées et ne sont plus qu'une ombre de leur ancienne gloire.;Eine schreckliche Krankheit wütet in [Root.GetName], die tausende Tote in ihrer Totenwache zurücklässt. Der Handel ist zum Stillstand gekommen als die chinesische Wirtschaft in die Knie gezwungen wurde und selbst die Armee des Reiches ist nur ein Schatten ihres früheren Ruhmes.;;Una horrible enfermedad golpea el [Root.GetName], dejando miles de muertos a su paso. El comercio se ha detenido y la economía china se encuentra al borde del desastre. E incluso los ejércitos del imperio se han visto diezmados a una sombra de su antigua gloria.;;;;;;;;;x;;;;
china_golden_age_desc;The [Root.GetName] has reached untold power and wealth. As Valyria flourishes, the trade routes with the East bring not only valuable goods in previously unheard-of quantities, but also rich and abundant examples of Valyrian culture. An Archon of Valyria in this Golden Age may well rightfully consider [Root.Ruler.GetHerselfHimself] the [Root.Ruler.GetMasterMistress] of the known world.;L'[Root.GetName] a atteint une puissance et une richesse incalculables. Au fur et à mesure que la Chine prospère, les routes commerciales avec l'Orient apportent non seulement des biens précieux dans des quantités sans précédent, mais aussi de nombreux exemples de la culture chinoise. Un empereur de Chine dans cet âge d'or pourrait bien se considérer comme [Root.Ruler.GetLeLa] [Root.Ruler.GetMasterMistress] du monde connu.;[Root.GetName] hat unermessliche Macht und Reichtum erreicht. Während Freehold blüht, bringen die Handelswege mit dem Osten nicht nur wertvolle Güter in undenklichen Mengen, sondern auch reichhaltige und üppige Beispiele chinesischer Kultur. Ein Kaiser eines solch goldenen Zeitalters kann mit Recht als [Root.Ruler.GetMasterMistress] der bekannten Welt betrachtet werden.;;El [Root.GetName] ha alcanzado poder y riqueza nunca visto. Con el florecimiento de Freehold, las rutas comerciales con Oriente no solo traen bienes valiosos en cantidades nunca vistas, sino también ejemplos ricos y abundantes de la cultura china. Por lo tanto, quien gobierne el Imperio de Freehold en esta Edad de Oro se puede considerar [Root.Ruler.GetMasterMistress] del mundo conocido.;;;;;;;;;x;;;;
raise_china_honor_guard;Raise Valyrian Honor Guard;Lever la garde d'honneur chinoise;Chinesische Ehrengarde ausheben;;Reclutar guardia de honor cina;;;;;;;;;x;;;;
TXT_CHINA;Valyrian;Freehold chinois;Chinesisches Reich;;Imperio chino;;;;;;;;;x;;;;
